Country,Count,lat,long
NAMIBIA,3,-23.2335499,17.3231107
LATVIA,8,56.8406494,24.7537645
CUBA,5,23.0131338,-80.8328748
PAPUA NEW GUINEA,2,-5.6816069,144.2489081
IVORY COAST,5,7.9897371,-5.5679458
TOGO,7,8.7800265,1.0199765
ANGOLA,7,-11.8775768,17.5691241
ANTIGUA AND BARBUDA,7,17.2234721,-61.9554608
SAMOA,3,-13.7693895,-172.12005
TONGA,1,-19.9160819,-175.202642
SLOVENIA,4,46.1199444,14.8153333
MOZAMBIQUE,4,-19.302233,34.9144977
MAURITANIA,2,20.2540382,-9.2399263
LESOTHO,1,-29.6039267,28.3350193
ST KITTS AND NEVIS,3,17.250512,-62.6725973
MONTENEGRO,7,-29.6826112,-51.4687455
CENTRAL AFRICAN REPUBLIC,1,7.0323598,19.9981227
BHUTAN,3,27.549511,90.5119273
CURACAO,1,12.1176488,-68.9309263
ERITREA,5,15.9500319,37.9999668
MADAGASCAR,4,-18.9249604,46.4416422
ESTONIA,9,58.7523778,25.3319078
NORTH KOREA,1,40.3736611,127.0870417
BRUNEI,3,4.4137155,114.5653908
MAURITIUS,7,-20.2759451,57.5703566
BURUNDI,6,-3.426449,29.9324519
BERMUDA,2,32.2937417,-64.7815286
NORWAY,18,64.5731537,11.52803643954819
GUINEA-BISSAU,1,11.815215,-15.2351044
NIGER,3,17.7356214,9.3238432
CAYMAN ISLANDS,1,19.703182249999998,-79.9174627243246
EQUATORIAL GUINEA,2,1.613172,10.5170357
REPUBLIC OF CONGO,1,-2.9814344,23.8222636
ARUBA,2,12.51756625,-69.98186415210564
GUINEA,1,10.7226226,-10.7083587
MALTA,4,35.8885993,14.4476911
ICELAND,3,64.9841821,-18.1059013
LUXEMBOURG,3,49.6112768,6.129799
CZECHOSLOVAKIA,1,48.257918,14.5007688
SOMALIA,5,8.3676771,49.083416
SINT MAARTEN,2,18.0423736,-63.0549948
YUGOSLAVIA,1,23.04123655,-81.52614194734898
SOUTH SUDAN,1,7.8699431,29.6667897
LAOS,1,20.0171109,103.378253
